repo,issue_number,primary_gesture,tier,matched_raw,url,state
LemmyNet/jerboa,2142,none,none,,https://github.com/LemmyNet/jerboa/issues/2142,open
LemmyNet/jerboa,2143,none,none,,https://github.com/LemmyNet/jerboa/issues/2143,open
LemmyNet/jerboa,2135,none,none,,https://github.com/LemmyNet/jerboa/issues/2135,open
LemmyNet/jerboa,2050,none,none,,https://github.com/LemmyNet/jerboa/issues/2050,closed
LemmyNet/jerboa,1711,scroll,simple,scroll,https://github.com/LemmyNet/jerboa/issues/1711,open
LemmyNet/jerboa,2040,scroll,simple,scroll,https://github.com/LemmyNet/jerboa/issues/2040,closed
LemmyNet/jerboa,1991,scroll,simple,scroll,https://github.com/LemmyNet/jerboa/issues/1991,open
LemmyNet/jerboa,1934,none,none,,https://github.com/LemmyNet/jerboa/issues/1934,closed
LemmyNet/jerboa,1935,none,none,,https://github.com/LemmyNet/jerboa/issues/1935,closed
LemmyNet/jerboa,1884,none,none,,https://github.com/LemmyNet/jerboa/issues/1884,closed
LemmyNet/jerboa,1870,none,none,,https://github.com/LemmyNet/jerboa/issues/1870,closed
LemmyNet/jerboa,1849,scroll,simple,scroll,https://github.com/LemmyNet/jerboa/issues/1849,closed
LemmyNet/jerboa,1866,none,none,,https://github.com/LemmyNet/jerboa/issues/1866,open
LemmyNet/jerboa,1757,none,none,,https://github.com/LemmyNet/jerboa/issues/1757,closed
LemmyNet/jerboa,1766,none,none,,https://github.com/LemmyNet/jerboa/issues/1766,closed
AndBible/and-bible,3572,scroll,simple,scroll,https://github.com/AndBible/and-bible/issues/3572,open
AndBible/and-bible,3823,none,none,,https://github.com/AndBible/and-bible/issues/3823,closed
AndBible/and-bible,3749,none,none,,https://github.com/AndBible/and-bible/issues/3749,open
AndBible/and-bible,3821,none,none,,https://github.com/AndBible/and-bible/issues/3821,closed
AndBible/and-bible,2747,none,none,,https://github.com/AndBible/and-bible/issues/2747,open
AndBible/and-bible,3818,none,none,,https://github.com/AndBible/and-bible/issues/3818,open
AndBible/and-bible,3801,none,none,,https://github.com/AndBible/and-bible/issues/3801,open
AndBible/and-bible,3809,none,none,,https://github.com/AndBible/and-bible/issues/3809,open
AndBible/and-bible,1765,none,none,,https://github.com/AndBible/and-bible/issues/1765,closed
AndBible/and-bible,3735,none,none,,https://github.com/AndBible/and-bible/issues/3735,closed
AndBible/and-bible,3797,none,none,,https://github.com/AndBible/and-bible/issues/3797,closed
AndBible/and-bible,3800,none,none,,https://github.com/AndBible/and-bible/issues/3800,closed
AndBible/and-bible,3789,none,none,,https://github.com/AndBible/and-bible/issues/3789,closed
AndBible/and-bible,3059,none,none,,https://github.com/AndBible/and-bible/issues/3059,closed
AndBible/and-bible,3057,none,none,,https://github.com/AndBible/and-bible/issues/3057,closed
kylecorry31/Trail-Sense,3810,orientation,simple,orientation,https://github.com/kylecorry31/Trail-Sense/issues/3810,open
kylecorry31/Trail-Sense,3838,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3838,closed
kylecorry31/Trail-Sense,2930,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/2930,open
kylecorry31/Trail-Sense,3244,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3244,open
kylecorry31/Trail-Sense,3559,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3559,open
kylecorry31/Trail-Sense,3819,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3819,closed
kylecorry31/Trail-Sense,3815,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3815,closed
kylecorry31/Trail-Sense,3814,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3814,closed
kylecorry31/Trail-Sense,3803,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3803,closed
kylecorry31/Trail-Sense,3042,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3042,closed
kylecorry31/Trail-Sense,3783,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3783,closed
kylecorry31/Trail-Sense,3680,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3680,closed
kylecorry31/Trail-Sense,3757,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3757,open
kylecorry31/Trail-Sense,3763,pinch_zoom,complex,pinch_zoom,https://github.com/kylecorry31/Trail-Sense/issues/3763,closed
kylecorry31/Trail-Sense,3725,none,none,,https://github.com/kylecorry31/Trail-Sense/issues/3725,closed
zzjcode-com/Quickly-Use-Jetpack-Compose,122,none,none,,https://github.com/zzjcode-com/Quickly-Use-Jetpack-Compose/issues/122,closed
